client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
1350140,6.0,82.0,60.5,U,2.0,92442.07,6.0,9.0
9079316,28.0,340.0,73.0,F,2.0,82293.11,4.0,7.0
5152514,7.0,91.0,45.5,U,2.0,132400.82,2.0,5.0
9605920,13.0,159.0,38.0,M,2.0,138245.51,2.0,5.0
9591007,10.0,126.0,72.0,F,2.0,142193.14,6.0,9.0
6836577,14.0,171.0,31.5,F,3.0,76518.06,6.0,9.0
2711963,13.0,163.0,60.5,F,2.0,376945.97,0.0,3.0
3673147,6.0,78.0,57.0,U,2.0,73467.26999999999,4.0,7.0
2607873,18.0,216.0,49.0,M,2.0,136956.19,6.0,9.0
4522785,15.0,181.0,76.5,M,2.0,96106.87,0.0,3.0
1862530,18.0,224.0,67.5,F,2.0,85945.89,2.0,5.0
639127,34.0,418.0,71.5,F,2.0,82991.2,2.0,5.0
9684889,9.0,109.0,47.5,F,2.0,96413.03,1.0,4.0
4925607,17.0,213.0,42.5,F,3.0,124981.79,2.0,5.0
8221149,8.0,97.0,60.0,U,3.0,394355.83,5.0,8.0
493608,4.0,58.0,58.0,U,3.0,73149.25,1.0,4.0
9220363,11.0,142.0,67.0,M,2.0,77428.16,0.0,3.0
1171656,14.0,178.0,36.0,M,2.0,75645.28,2.0,5.0
3979160,6.0,78.0,66.5,U,2.0,80456.44,4.0,7.0
4033851,12.0,149.0,63.5,M,2.0,142642.26,5.0,8.0
7472328,13.0,157.0,64.0,M,2.0,64052.59,6.0,9.0
1883495,7.0,84.0,41.5,U,2.0,66535.56,6.0,9.0
1696504,24.0,288.0,56.5,F,2.0,74228.70999999999,3.0,6.0
6465174,8.0,101.0,49.5,U,2.0,136093.0,1.0,4.0
6323413,8.0,102.0,38.0,U,3.0,100146.44,3.0,6.0
4945619,6.0,80.0,58.0,U,3.0,287618.24,6.0,9.0
614978,22.0,275.0,69.0,F,3.0,70027.22,3.0,6.0
9102754,18.0,216.0,48.5,F,2.0,154385.51,3.0,6.0
9106373,17.0,212.0,48.5,M,3.0,114399.25,3.0,6.0
1958549,26.0,318.0,68.5,F,2.0,96522.35,6.0,9.0
2798135,9.0,110.0,77.5,M,2.0,74245.98,2.0,5.0
1543918,10.0,120.0,64.0,M,2.0,646376.65,6.0,9.0
6596429,9.0,109.0,51.0,M,2.0,239657.71999999997,5.0,8.0
5423819,6.0,83.0,56.0,U,3.0,103644.48,1.0,4.0
9394424,12.0,146.0,60.0,F,2.0,130025.02,6.0,9.0
914926,27.0,325.0,31.5,M,3.0,951169.62,6.0,9.0
3612419,13.0,158.0,47.0,M,4.0,3046147.06,6.0,9.0
3076358,12.0,153.0,57.5,M,2.0,239566.86,6.0,9.0
8353994,4.0,58.0,31.5,U,2.0,145891.78999999998,2.0,5.0
2939759,13.0,166.0,33.0,U,2.0,94714.11,2.0,5.0
7041718,9.0,118.0,37.0,M,2.0,74319.17,3.0,6.0
2446320,4.0,54.0,63.0,F,2.0,135039.74,2.0,5.0
3635165,11.0,143.0,67.0,M,3.0,445914.9,3.0,7.0
9559072,4.0,55.0,25.5,U,3.0,65801.54000000001,2.0,5.0
7649879,7.0,89.0,42.5,U,2.0,75975.23,2.0,5.0
5932987,4.0,56.0,63.0,U,2.0,81902.62,4.0,7.0
8001854,17.0,208.0,49.0,M,2.0,169548.2,2.0,5.0
3259588,16.0,203.0,47.5,M,3.0,379296.79,4.0,7.0
5230087,9.0,109.0,45.0,F,3.0,1066583.87,4.0,7.0
1395331,5.0,68.0,63.5,F,2.0,69096.75,6.0,9.0
8082450,15.0,189.0,45.5,M,2.0,89168.01,1.0,4.0
5154904,24.0,298.0,64.0,F,3.0,186025.99,5.0,8.0
